,Title,Genre,G_news,Vader,Polar,Subject,IMDB
0,Dulha Mil Gaya,3,0.6,0.44,-0.08,0.23,4.4
1,Pyaar Impossible!,3,0.45,-0.03,-0.5,0.84,4.7
2,Chance Pe Dance,3,0.65,0.14,0.04,0.2,4.7
3,Hello! Hum Lallan Bol Rahe Hain,3,0.55,0.0,0.0,0.0,6.3
4,The Waiting Room,11,0.4,-0.01,0.02,0.33,6.5
5,Veer,2,0.5,0.05,0.07,0.33,8.3
6,Ishqiya,3,0.6,0.43,0.53,0.76,7.3
7,Rann,4,0.5,0.1,0.11,0.36,7.0
8,Road to Sangam,4,0.5,-0.02,-0.02,0.09,7.6
9,The Hangman,10,0.4,0.07,0.06,0.33,6.7
10,Striker,6,0.65,0.21,0.16,0.34,8.2
11,My Name Is Khan,4,0.5,0.14,0.11,0.18,8.0
12,Sukhmani,4,0.55,0.22,0.11,0.35,5.7
13,Aakhari Decision,2,0.6,-0.3,0.0,0.0,6.0
14,Click,3,0.55,0.27,0.14,0.3,6.4
15,Toh Baat Pakki!,3,0.65,-0.19,0.19,0.44,5.3
16,Karthik Calling Karthik,4,0.5,0.06,0.02,0.34,7.0
17,Teen Patti,6,0.55,0.34,0.04,0.18,4.1
18,Atithi Tum Kab Jaoge?,3,0.55,0.0,0.0,0.0,6.4
19,Hello Zindagi,4,0.65,0.33,0.24,0.32,6.6
20,"Road, Movie",1,0.55,0.06,0.15,0.35,6.9
21,Rokkk,4,0.55,0.01,-0.02,0.48,4.5
22,Thanks Maa,6,0.6,0.53,0.24,0.36,7.9
23,Do Dilon Ke Khel Mein,3,0.55,0.0,0.0,0.0,5.8
24,Na Ghar Ke Na Ghaat Ke,3,0.5,-0.32,0.6,1.0,6.3
25,Right Yaaa Wrong,6,0.4,0.14,0.05,0.34,6.4
26,Trump Card,2,0.55,0.08,-0.03,0.35,2.7
27,Idiot Box,3,0.4,-0.29,-0.28,0.56,6.5
28,Lahore,2,0.4,0.07,0.11,0.43,6.4
29,Love Sex aur Dhokha,3,0.6,0.88,0.5,0.6,7.1
30,Shaapit,1,0.5,0.0,0.0,0.0,5.6
31,Hum Tum Aur Ghost,3,0.5,0.0,0.0,0.0,4.8
32,It's a Man's World,3,0.45,0.0,0.02,0.47,8.1
33,Mittal v/s Mittal,4,0.5,0.35,-0.07,0.39,4.8
34,My Friend Ganesha 3,8,0.7,0.0,0.0,0.0,4.4
35,Prem Kaa Game,3,0.6,0.0,0.0,0.0,3.7
36,Well Done Abba,3,0.55,0.47,0.13,0.23,7.3
37,Pankh,4,0.55,0.36,0.22,0.46,4.3
38,Tum Milo Toh Sahi,3,0.5,-0.51,0.2,0.2,5.7
39,Jaane Kahan Se Aayi Hai,3,0.55,0.0,0.0,0.0,4.1
40,The Japanese Wife,4,0.5,0.1,0.05,0.26,7.6
41,Paathshaala,4,0.55,0.48,0.57,0.73,5.0
42,Phoonk 2,4,0.5,0.15,0.04,0.33,3.3
43,Apartment,4,0.35,0.05,0.03,0.37,8.3
44,Bird Idol,8,0.55,0.14,-0.01,0.38,6.2
45,City of Gold,2,0.5,0.17,0.14,0.29,8.6
46,Kuchh Kariye,1,0.45,0.2,0.33,0.34,5.0
47,Muskurake Dekh Zara,3,0.5,0.0,0.0,0.0,4.3
48,Chase,5,0.5,0.13,0.1,0.36,7.0
49,Housefull,3,0.6,0.11,0.11,0.28,5.5
50,Badmaash Company,3,0.55,0.19,0.03,0.2,6.0
51,It's a Wonderful Afterlife,3,0.45,0.72,1.0,1.0,5.4
52,Admissions Open,3,0.65,0.26,0.13,0.42,3.0
53,Bumm Bumm Bole,4,0.55,0.0,0.0,0.0,6.1
54,Kushti,3,0.55,0.05,-0.01,0.12,4.3
55,Kites,2,0.7,0.11,0.16,0.31,4.4
56,Raajneeti,6,0.5,-0.05,0.07,0.32,7.2
57,Ek Second... Jo Zindagi Badal De?,4,0.5,0.0,0.0,0.0,3.5
58,Raavan,2,0.5,0.13,0.12,0.32,5.4
59,Krantiveer - The Revolution,2,0.5,0.0,0.0,0.0,5.1
60,Mr. Singh / Mrs. Mehta,4,0.5,0.0,0.0,0.0,4.5
61,I Hate Luv Storys,3,0.4,-0.48,-0.44,0.86,5.7
62,Milenge Milenge,4,0.55,0.12,0.08,0.33,4.1
63,Red Alert: The War Within,2,0.45,-0.36,0.2,0.3,6.5
64,Lamhaa,2,0.55,0.28,0.14,0.17,5.1
65,Tere Bin Laden,3,0.6,0.3,0.01,0.11,7.2
66,Udaan,4,0.45,0.14,0.12,0.35,8.2
67,Khatta Meetha,3,0.65,0.14,0.11,0.28,5.8
68,Once Upon a Time in Mumbaai,2,0.55,0.32,0.12,0.22,7.4
69,Aisha,3,0.55,0.14,0.14,0.27,5.0
70,Help,7,0.65,0.26,0.05,0.33,8.1
71,Peepli Live,9,0.55,0.07,0.09,0.47,7.4
72,Lafangey Parindey,2,0.55,0.18,0.05,0.05,5.3
73,Mr. Bhatti on Chutti,3,0.35,0.0,0.0,0.0,4.0
74,Antardwand,4,0.5,0.0,0.0,0.0,7.4
75,Life Express,4,0.5,0.13,0.11,0.42,4.9
76,Aashayein,4,0.55,0.34,0.34,0.58,7.2
77,Soch Lo,2,0.5,0.05,0.04,0.14,6.6
78,We Are Family,3,0.55,0.23,0.15,0.43,5.6
79,Mallika,7,0.5,0.14,0.1,0.3,4.4
80,The Film Emotional Atyachar,3,0.5,0.0,0.0,0.0,6.1
81,Dabangg,2,0.6,0.12,0.11,0.3,6.3
82,Robot,2,0.4,0.07,0.05,0.25,8.5
83,Anjaana Anjaani,3,0.65,0.29,0.1,0.35,5.8
84,Khichdi: The Movie,3,0.5,0.61,0.25,0.3,7.2
85,Crook,2,0.5,-0.07,-0.01,0.33,8.4
86,Do Dooni Chaar,3,0.6,0.47,0.32,0.45,7.6
87,Aakrosh,2,0.45,0.1,0.06,0.39,7.0
88,Knock Out,3,0.6,-0.03,0.01,0.3,5.0
89,Kajraare,6,0.5,0.0,0.0,0.1,3.0
90,Ramayana: The Epic,8,0.55,0.24,0.21,0.44,6.0
91,Hisss,3,0.65,0.03,0.03,0.22,3.0
92,Jhootha Hi Sahi,3,0.55,0.3,0.31,0.5,6.2
93,Rakta Charitra - I,2,0.55,0.0,0.0,0.0,6.4
94,Dunno Y... Na Jaane Kyon,4,0.45,0.46,0.15,0.55,3.8
95,Maalik Ek,6,0.5,-0.29,0.09,0.17,8.4
96,Nakshatra,6,0.55,0.07,0.09,0.24,5.6
97,Golmaal 3,2,0.55,0.1,-0.05,0.35,5.4
98,Action Replayy,3,0.5,0.41,0.21,0.28,4.2
99,A Flat,4,0.4,0.02,0.02,0.29,5.2
100,Ramaa: The Saviour,2,0.5,0.0,0.0,0.0,4.1
101,Guzaarish,4,0.7,0.22,0.14,0.37,7.5
102,"Shahrukh Bola ""Khoobsurat Hai Tu""",3,0.5,0.0,0.0,0.0,6.2
103,Allah Ke Banday,2,0.55,0.9,0.8,0.88,6.3
104,Bhindi Baazaar Inc.,6,0.35,0.0,0.0,0.0,6.2
105,Break Ke Baad,3,0.55,0.04,0.05,0.28,5.2
106,Khuda Kasam,2,0.5,0.18,0.24,0.56,4.1
107,Khelein Hum Jee Jaan Sey,2,0.55,0.51,0.0,0.0,5.9
108,Phas Gaye Re Obama,3,0.65,0.0,0.0,0.0,7.5
109,Rakta Charitra - II,2,0.5,0.0,0.0,0.0,6.4
110,Band Baaja Baaraat,3,0.45,0.1,0.12,0.16,7.2
111,No Problem,2,0.2,-0.34,0.07,0.28,4.2
112,Payback,2,0.45,-0.03,0.04,0.32,7.1
113,Kaalo,2,0.5,0.02,0.07,0.39,3.1
114,Mirch,3,0.6,0.11,0.08,0.29,6.6
115,Tees Maar Khan,3,0.5,0.23,0.08,0.38,2.6
116,Isi Life Mein,3,0.55,0.0,0.0,0.0,5.9
117,Toonpur Ka Super Hero,8,0.6,0.0,0.0,0.0,4.3
118,Tera Kya Hoga Johnny,6,0.55,0.0,0.0,0.0,6.2
119,Ada... A Way of Life,2,0.4,-0.42,-0.35,0.66,3.5
120,No One Killed Jessica,6,0.4,-0.71,0.06,0.31,7.2
121,Impatient Vivek,3,0.45,0.0,0.0,0.0,2.3
122,Yamla Pagla Deewana,2,0.6,0.5,0.45,0.46,3.5
123,Turning 30!!!,3,0.55,0.06,0.04,0.33,5.2
124,Mumbai Mast Kallander,2,0.5,0.0,0.0,0.0,5.8
125,Odyssey of Persistence,11,0.55,0.04,0.03,0.14,8.0
126,Dhobi Ghat,4,0.5,0.09,0.09,0.36,7.1
127,Hostel,7,0.4,0.12,0.11,0.35,5.9
128,Dil Toh Baccha Hai Ji,3,0.5,-0.32,0.3,0.5,5.7
129,Yeh Saali Zindagi,6,0.5,0.77,0.5,0.47,7.5
130,United Six,2,0.5,0.31,0.11,0.38,3.9
131,Utt Pataang,3,0.5,0.0,0.0,0.0,6.0
132,Patiala House,4,0.45,0.05,0.06,0.3,5.9
133,Angel,2,0.45,0.2,0.13,0.38,8.9
134,Aashiqui.in,4,0.5,0.23,0.12,0.33,7.0
135,7 Khoon Maaf,4,0.5,-0.03,-0.02,0.29,6.1
136,Kaccha Limbo,3,0.6,0.0,0.0,0.0,6.4
137,Masti Express,1,0.6,0.36,0.06,0.58,5.2
138,Tanu Weds Manu,3,0.65,0.16,0.14,0.34,6.7
139,Satrangee Parachute,3,0.5,0.0,0.0,0.0,5.6
140,Yeh Faasley,6,0.55,0.0,0.0,0.0,6.3
141,Happy Husbands,3,0.75,0.44,0.45,0.7,5.6
142,Monica,4,0.6,0.2,0.18,0.34,8.4
143,Game,4,0.6,0.19,-0.1,0.4,9.4
144,F.A.L.T.U,3,0.55,0.04,0.0,0.11,4.6
145,Memories in March,4,0.5,0.17,0.17,0.37,7.1
146,Thank You,3,0.8,0.49,0.15,0.24,4.7
147,Teen Thay Bhai,3,0.45,0.0,0.0,0.0,4.3
148,Dum Maaro Dum,2,0.6,0.09,0.18,0.44,6.2
149,Zokkomon,2,0.5,0.0,0.0,0.0,4.2
150,Shor in the City,6,0.5,0.0,0.1,0.3,7.3
151,Chalo Dilli,3,0.55,-0.09,0.02,0.08,6.8
152,I Am,6,0.5,0.07,0.07,0.38,6.8
153,Naughty @ 40,3,0.4,0.0,0.0,0.0,2.6
154,Luv Ka The End,3,0.55,-0.05,0.0,0.0,4.9
155,Haunted ?? 3D,7,0.5,0.0,0.0,0.0,6.3
156,Love U...Mr. Kalakaar!,4,0.6,0.0,0.0,0.0,5.8
157,Ragini MMS,4,0.55,0.18,0.01,0.44,5.0
158,Shagird,3,0.55,0.03,0.1,0.26,7.0
159,Stanley Ka Dabba,3,0.65,0.35,0.11,0.55,7.9
160,404,4,0.5,0.05,0.06,0.23,7.2
161,Pyar ka Punchnama,3,0.5,0.02,0.15,0.31,7.7
162,Kucch Luv Jaisaa,4,0.55,0.0,0.0,0.0,4.4
163,Ready,2,0.65,0.36,0.18,0.5,7.5
164,Shaitan,2,0.65,-0.04,0.06,0.32,7.3
165,Bheja Fry 2,3,0.5,0.0,0.0,0.0,4.7
166,Always Kabhi Kabhi,3,0.5,0.14,0.12,0.37,4.3
167,Bhindi Baazaar Inc.,6,0.35,0.0,0.0,0.0,6.2
168,Bin Bulaye Baraati,2,0.55,0.72,0.33,1.0,3.9
169,Double Dhamaal,3,0.5,0.0,0.09,0.12,3.8
170,Bbuddah... Hoga Terra Baap,2,0.55,0.0,0.0,0.0,5.6
171,Delhi Belly,2,0.55,0.07,0.06,0.21,7.6
172,Murder 2,2,0.15,-0.48,-0.04,0.33,6.0
173,Chillar Party,3,0.65,0.3,0.09,0.36,7.5
174,Zindagi Na Milegi Dobara,3,0.45,0.22,0.15,0.27,8.1
175,Singham,2,0.5,-0.11,0.1,0.28,6.8
176,Khap,4,0.5,0.07,0.08,0.18,5.8
177,Gandhi to Hitler,4,0.45,0.12,0.01,0.27,2.7
178,Bubble Gum,4,0.6,0.08,0.08,0.23,7.6
179,Chala Mussaddi... Office Office,3,0.6,0.0,0.0,0.0,6.1
180,I Am Kalam,3,0.55,0.2,0.08,0.36,8.0
181,Milta Hai Chance By Chance,3,0.6,0.0,0.0,0.0,6.7
182,Aarakshan,4,0.5,0.02,0.04,0.28,6.2
183,Phhir,4,0.55,-0.05,-0.02,0.47,5.4
184,Chatur Singh Two Star,2,0.5,0.0,0.0,0.0,1.8
185,Not a Love Story,6,0.8,0.31,0.2,0.52,5.0
186,Sahi Dhandhe Galat Bande,2,0.6,0.0,0.0,0.0,4.9
187,Chitkabrey ?? Shades of Grey,4,0.5,0.0,0.0,0.0,4.1
188,Shabri,2,0.5,0.07,0.01,0.27,5.7
189,Yeh Dooriyan,4,0.5,0.0,0.0,0.0,5.1
190,Bodyguard,6,0.4,0.04,0.07,0.3,8.2
191,Mummy Punjabi,3,0.5,-0.19,-0.31,0.7,5.7
192,That Girl in Yellow Boots,6,0.55,-0.28,-0.05,0.2,6.7
193,Mere Brother Ki Dulhan,3,0.55,0.28,-0.07,0.5,5.9
194,Rivaaz,6,0.55,0.32,0.16,0.43,4.3
195,Mausam,4,0.5,0.23,0.23,0.43,4.8
196,Speedy Singhs,3,0.55,0.0,0.0,0.0,5.8
197,U R My Jaan,6,0.65,0.42,0.25,0.38,6.0
198,Force,6,0.55,0.01,0.04,0.38,7.3
199,Hum Tum Shabana,3,0.55,0.0,0.0,0.0,4.0
200,Saheb Biwi Aur Gangster,2,0.4,0.39,0.15,0.64,4.5
201,Tere Mere Phere,3,0.4,0.0,0.0,0.0,5.4
202,Chargesheet,4,0.5,-0.12,0.05,0.22,6.3
203,Rascals,2,0.55,0.1,0.04,0.39,6.3
204,Love Breakups Zindagi,3,0.5,0.58,0.28,0.56,5.8
205,Mujhse Fraaandship Karoge,3,0.6,0.0,0.0,0.0,6.9
206,My Friend Pinto,3,0.65,0.52,0.39,0.3,5.3
207,Aazaan,2,0.5,0.1,0.2,0.34,4.5
208,Ra.One,2,0.55,0.1,0.08,0.25,4.8
209,Tell Me O Kkhuda,2,0.6,0.0,0.0,0.0,2.6
210,Damadamm!,3,0.5,0.0,0.0,0.0,4.2
211,Loot,3,0.5,0.05,0.06,0.36,7.5
212,Miley Naa Miley Hum,3,0.65,0.0,0.0,0.0,3.7
213,Rockstar,4,0.5,0.16,0.12,0.36,6.3
214,Shakal Pe Mat Ja,3,0.6,0.0,0.0,0.0,5.4
215,Desi Boyz,3,0.55,0.16,0.15,0.28,5.9
216,The Dirty Picture,6,0.55,-0.1,-0.12,0.58,6.6
217,Ladies vs Ricky Bahl,3,0.55,-0.06,0.05,0.07,6.0
218,Jo Hum Chahein,4,0.5,0.0,0.0,0.0,5.4
219,Don 2: The Chase Continues,2,0.6,-0.23,0.0,0.0,7.1
220,Players,6,0.5,0.23,0.22,0.37,7.5
221,Chaalis Chauraasi 4084,3,0.5,0.0,0.0,0.0,6.2
222,Ghost,4,0.3,-0.09,0.09,0.35,7.8
223,Sadda Adda,3,0.6,0.0,0.0,0.0,7.2
224,Agneepath,2,0.7,0.11,0.09,0.22,7.0
225,Gali Gali Chor Hai,3,0.45,0.02,0.12,0.24,5.2
226,Staying Alive,4,0.75,0.19,0.04,0.46,4.6
227,Love You To Death,4,0.45,0.17,0.27,0.52,6.4
228,Ek Main Aur Ekk Tu,3,0.5,0.0,0.18,0.29,5.8
229,Valentine's Night,6,0.55,0.26,0.19,0.43,2.7
230,Ekk Deewana Tha,4,0.65,0.84,0.36,0.56,5.9
231,Married 2 America,5,0.55,-0.09,0.05,0.37,4.3
232,Jodi Breakers,3,0.55,0.0,0.0,0.0,3.5
233,Tere Naal Love Ho Gaya,3,0.7,0.0,0.0,0.0,5.8
234,"London, Paris, New York",6,0.55,0.15,0.16,0.4,5.7
235,Paan Singh Tomar,2,0.55,0.08,-0.02,0.45,8.2
236,Will You Marry Me?,3,0.6,0.11,0.04,0.21,5.1
237,Kahaani,6,0.5,0.22,0.18,0.4,8.1
238,Chaar Din Ki Chandni,3,0.5,0.0,0.0,0.0,4.4
239,Say Yes to Love,6,0.6,0.53,0.21,0.51,6.2
240,Akkad Bakkkad Bam Be Bo,2,0.5,0.0,0.0,0.0,7.2
241,Zindagi Tere Naam,6,0.55,0.0,0.0,0.0,4.7
242,Agent Vinod,2,0.6,0.33,0.18,0.29,5.2
243,Blood Money,4,0.4,0.05,0.08,0.34,4.5
244,Bumboo,3,0.7,0.21,0.08,0.44,3.6
245,Housefull 2,2,0.55,-0.03,0.0,0.13,5.4
246,Bittoo Boss,6,0.55,0.0,0.0,0.0,4.2
247,Chhodo Kal Ki Baatein,4,0.6,-0.9,0.0,0.0,7.1
248,Vicky Donor,3,0.6,0.07,0.07,0.21,7.8
249,Hate Story,4,0.35,-0.29,-0.27,0.63,5.3
250,Tezz,2,0.65,0.08,0.11,0.35,3.9
251,Life Ki Toh Lag Gayi,3,0.35,0.0,0.0,0.0,5.6
252,Jannat 2,6,0.5,0.08,0.08,0.33,6.2
253,Fatso!,3,0.5,0.0,0.0,0.32,6.3
254,The Forest,6,0.55,0.05,0.11,0.37,4.8
255,Dangerous Ishq,6,0.55,-0.2,-0.14,0.6,4.0
256,Ishaqzaade,2,0.5,0.26,0.24,0.34,6.6
257,Department,2,0.55,0.04,0.04,0.34,7.1
258,Chhota Bheem And The Curse Of Damyaan,8,0.35,-0.61,0.04,0.24,6.4
259,Mr. Bhatti on Chutti,3,0.35,0.0,0.0,0.0,4.0
260,Arjun: The Warrior Prince,8,0.55,0.47,0.07,0.47,6.9
261,Rakhtbeej,5,0.55,0.01,0.5,0.5,3.1
262,Yeh Khula Aasmaan,6,0.5,0.0,0.0,0.0,6.9
263,"Love, Wrinkle-free",3,0.6,0.86,0.32,0.51,6.4
264,Rowdy Rathore,2,0.6,0.14,0.09,0.22,5.9
265,Shanghai,6,0.55,0.23,0.15,0.34,6.4
266,Ferrari Ki Sawaari,3,0.5,0.0,0.0,0.0,6.4
267,Qasam Se Qasam Se,6,0.45,0.13,0.03,0.3,4.6
268,Teri Meri Kahaani,3,0.55,0.26,0.39,0.52,4.8
269,Gangs of Wasseypur,2,0.45,0.13,0.08,0.26,8.2
270,Maximum,2,0.45,0.06,0.12,0.31,5.5
271,Bol Bachchan,2,0.45,0.05,0.15,0.27,5.5
272,3 Bachelors,3,0.5,0.07,0.06,0.33,5.3
273,Cocktail,3,0.55,0.16,0.1,0.34,5.9
274,Gattu,4,0.5,0.08,0.06,0.13,7.2
275,Challo Driver,3,0.55,0.0,0.0,0.0,6.1
276,Mere Dost Picture Abhi Baki Hai,3,0.55,0.08,-0.32,0.47,3.7
277,Kyaa Super Kool Hai Hum,3,0.55,0.0,0.0,0.0,5.0
278,Aalaap,6,0.5,0.34,0.13,0.43,5.8
279,Overtime,2,0.45,0.02,0.02,0.3,5.3
280,Jism 2,4,0.7,0.16,0.22,0.44,3.1
281,Krishna Aur Kans ,8,0.55,0.0,0.0,0.0,6.4
282,Gangs of Wasseypur ?? Part 2,2,0.5,0.0,0.0,0.0,8.2
283,Ek Tha Tiger,2,0.45,0.24,0.19,0.25,5.5
284,Shirin Farhad Ki Toh Nikal Padi,6,0.5,0.0,0.0,0.0,4.3
285,Jalpari: The Desert Mermaid,4,0.5,0.0,0.0,0.0,7.2
286,From Sydney with Love,3,0.55,0.52,0.24,0.48,6.2
287,I M 24,3,0.45,0.11,0.07,0.39,6.7
288,Raaz 3,7,0.5,0.11,0.17,0.37,4.1
289,Chal Pichchur Banate Hain,3,0.45,0.0,0.0,0.0,6.3
290,Barfi!,3,0.55,0.16,0.16,0.32,8.1
291,Jeena Hai Toh Thok Daal,4,0.5,0.0,0.0,0.0,6.0
292,Heroine,1,0.65,0.4,0.09,0.36,5.1
293,Kamaal Dhamaal Malamaal,3,0.4,0.0,0.0,0.0,4.2
294,Oh My God,3,0.5,0.31,0.05,0.32,6.3
295,English Vinglish,3,0.55,0.13,0.06,0.15,7.9
296,Kismet Love Paisa Dilli,1,0.75,0.0,0.0,0.0,4.4
297,Aiyyaa,3,0.45,-0.13,0.03,0.52,4.4
298,Login,4,0.5,0.12,0.08,0.34,6.2
299,Chittagong,2,0.4,0.07,0.05,0.2,7.2
300,Bhoot Returns,7,0.5,0.0,0.0,0.0,2.5
301,Student of the Year,3,0.55,0.1,0.1,0.34,2.1
302,Delhi Safari,8,0.65,-0.04,0.12,0.36,5.7
303,Chakravyuh,2,0.65,0.11,-0.03,0.26,6.9
304,Ajab Gazabb Love,3,0.8,0.86,0.25,0.32,4.3
305,Rush,2,0.5,0.04,0.08,0.32,8.1
306,Luv Shuv Tey Chicken Khurana,3,0.5,0.23,-0.41,0.91,6.6
307,1920: The Evil Returns,4,0.45,0.0,0.0,0.0,4.9
308,Ata Pata Laapata,3,0.45,0.0,0.0,0.0,5.6
309,Sons Of Ram,8,0.4,0.04,0.13,0.37,6.6
310,Future To Bright Hai Ji,4,0.65,0.0,0.0,0.0,6.2
311,Jab Tak Hai Jaan,4,0.6,0.38,0.25,0.39,6.8
312,Son Of Sardaar,2,0.55,0.01,0.11,0.45,4.0
313,Talaash,6,0.55,0.2,0.01,0.44,7.3
314,Khiladi 786,2,0.5,-0.1,-0.14,0.25,4.4
315,Cigarette Ki Tarah,6,0.6,0.0,0.0,0.0,4.2
316,Dabangg 2,2,0.55,0.15,0.28,0.36,4.9
317,Table No. 21,1,0.55,-0.15,0.03,0.32,7.1
318,Dehraadun Diary,5,0.55,0.0,0.0,0.0,5.8
319,Matru Ki Bijlee Ka Mandola,3,0.45,0.0,0.0,0.0,5.7
320,Gangoobai,4,0.45,0.0,0.0,0.0,7.6
321,Inkaar,4,0.5,0.05,0.09,0.34,9.5
322,Mumbai Mirror,2,0.5,0.03,0.06,0.17,5.2
323,Bandook,6,0.5,0.03,0.06,0.25,6.1
324,Race 2,2,0.6,0.17,0.1,0.39,5.3
325,Akaash Vani,4,0.65,0.36,0.5,0.5,6.3
326,Main Krishna Hoon,8,0.45,0.09,0.04,0.07,5.9
327,David,4,0.6,0.1,0.01,0.31,6.6
328,Vishwaroop,2,0.45,0.05,-0.02,0.24,8.3
329,Mai...,4,0.5,0.22,0.1,0.34,8.5
330,Listen... Amaya,4,0.45,0.37,0.14,0.39,6.8
331,Special 26,6,0.7,0.41,0.3,0.45,8.0
332,The Unsound,5,0.45,-0.07,0.05,0.35,5.0
333,Jayantabhai Ki Luv Story,2,0.45,0.0,0.0,0.0,5.4
334,Murder 3,4,0.1,-0.44,0.01,0.34,6.0
335,Kai Po Che!,4,0.5,-0.4,0.17,0.34,7.6
336,Zilla Ghaziabad,2,0.5,0.0,0.0,0.0,3.6
337,"I, Me, aur Main",3,0.55,0.13,0.1,0.43,4.7
338,Bloody Isshq,4,0.65,0.0,0.0,0.0,7.8
